sample_id,idtest_run,test_type,idtest_recipe,Test_Version,test_run_start_datetime,RunIndex,test_request_name,ElectricalTestTool,ElectricalTestChannel,is_discharge_only,ChargeCapacity,CapacityChargeFraction,dvdt,min_track_cycle_voltage,CycleIndex,CumulativeCycles,TestCycleStart_datetime,TestCycleStart_date,TestCycleStart_week,TestCycleEnd_datetime,TestCycleStart_datetime_first,TestCycleStart_week_first,TestCycleEnd_date,TestCycleEnd_week,track_cycle_count_cumulative,MiscTestAnomaly,ReliabilityCycles,CompletedCharge,CycleFailure,dvdt_failure,min_track_cycle_voltage_failure,CapacityChargeFraction_failure,AnyFailure,ChargeCapacity_failure,Experiment,Batch,WorkWeek,Group,ML Tier,center_normalized_0_5mm_eroded_rect_outside_median_us,Shorted,Condition
QSC022AA-PS00-01,188698523,E31,15894,R6_A1_TC_45C_7lap_V3,12/25/2024 14:22,40,NAR0105,SJ2-Maccor23,17,0,1216.2125,0.8190866,-16.484357,2.94591,3,65,12/25/2024 18:08,12/25/2024,Y2024-W52,12/25/2024 20:04,12/5/2024 20:22,Y2024-W49,12/25/2024,Y2024-W52,53,,53,,TRUE,1,0,0,TRUE,,QSC022,QSC022AA,Y2024-W49,QSC022,Tier 1,1.01385498,TRUE,QSC Sister
QSC022AA-PS00-03,188731855,E31,15895,R6_A1_TC_45C_8lap_V1,1/2/2025 2:42,82,MPG2823,SJ2-Maccor23,13,0,1290.4553,0.8701126,-17.676939,2.83558,5,147,1/2/2025 10:32,1/2/2025,Y2025-W01,1/2/2025 12:33,12/5/2024 20:23,Y2024-W49,1/2/2025,Y2025-W01,119,,120,,TRUE,1,0,0,TRUE,,QSC022,QSC022AA,Y2024-W49,QSC022,Tier 1,1.041777253,TRUE,QSC Sister
QSC022AA-PS00-04,188716346,E31,15894,R6_A1_TC_45C_7lap_V3,12/29/2024 6:00,60,KAL0618,SJ2-Maccor23,73,0,1365.3514,0.9199986,,,4,99,12/29/2024 11:41,12/29/2024,Y2025-W01,12/29/2024 12:36,12/5/2024 20:21,Y2024-W49,12/29/2024,Y2025-W01,78,,79,,TRUE,0,0,1,TRUE,,QSC022,QSC022AA,Y2024-W49,QSC022,Tier 1,1.0428284406661987,TRUE,QSC Sister
QSC022AB-PS00-01,188723925,E31,15894,R6_A1_TC_45C_7lap_V3,12/30/2024 17:33,69,KAL0616,SJ2-Maccor23,37,0,1364.5302,0.9199969,,,1,114,12/30/2024 17:33,12/30/2024,Y2025-W01,12/30/2024 18:52,12/6/2024 18:21,Y2024-W49,12/30/2024,Y2025-W01,90,,91,,TRUE,0,0,1,TRUE,,QSC022,QSC022AB,Y2024-W49,QSC022,Tier 1,1.020107984542847,TRUE,QSC Sister
QSC022AB-PS00-02,188727567,E31,15895,R6_A1_TC_45C_8lap_V1,12/31/2024 13:47,73,MPG2823,SJ2-Maccor23,41,0,1289.907,0.86946154,-19.268546,2.95262,3,127,12/31/2024 16:55,12/31/2024,Y2025-W01,12/31/2024 18:56,12/6/2024 18:28,Y2024-W49,12/31/2024,Y2025-W01,102,,103,,TRUE,1,0,0,TRUE,,QSC022,QSC022AB,Y2024-W49,QSC022,Tier 1,1.056698441505432,TRUE,QSC Sister
QSC022AC-PS00-02,188697522,E31,15894,R6_A1_TC_45C_7lap_V3,12/24/2024 2:24,31,NAR0105,SJ2-Maccor23,25,0,1236.4313,0.83213735,-26.169411,2.99718,4,48,12/24/2024 8:04,12/24/2024,Y2024-W52,12/24/2024 10:00,12/7/2024 19:17,Y2024-W49,12/24/2024,Y2024-W52,39,,39,,TRUE,1,0,0,TRUE,,QSC022,QSC022AC,Y2024-W49,QSC022,Tier 1,1.048619270324707,TRUE,QSC Sister
QSC022AC-PS00-03,188851903,E31,15895,R6_A1_TC_45C_8lap_V1,1/17/2025 1:43,110,NAR0128,SJ2-Maccor23,41,0,1315.9628,0.8852343,-26.107575,2.92462,3,194,1/17/2025 5:35,1/17/2025,Y2025-W03,1/17/2025 7:36,12/7/2024 19:18,Y2024-W49,1/17/2025,Y2025-W03,156,,157,,TRUE,1,0,0,TRUE,,QSC022,QSC022AC,Y2024-W49,QSC022,Tier 1,1.027611255645752,TRUE,QSC Sister
QSC022AD-PS00-03,188747757,E31,15895,R6_A1_TC_45C_8lap_V1,1/5/2025 4:42,101,MPG2823,SJ2-Maccor23,21,0,1365.6847,0.91999996,,,4,182,1/5/2025 10:37,1/5/2025,Y2025-W02,1/5/2025 11:24,12/10/2024 20:50,Y2024-W50,1/5/2025,Y2025-W02,148,,149,,TRUE,0,0,1,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.020612120628357,TRUE,QSC Sister
QSC022AD-PS00-04,188695546,E31,15894,R6_A1_TC_45C_7lap_V3,12/23/2024 14:10,29,NAR0104,SJ2-Maccor23,1,0,1370.375,0.9199988,,,2,40,12/23/2024 16:00,12/23/2024,Y2024-W52,12/23/2024 17:01,12/10/2024 20:45,Y2024-W50,12/23/2024,Y2024-W52,31,,32,,TRUE,0,0,1,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.0244512557983398,TRUE,QSC Sister
QSC022AD-PS00-05,188716321,E31,15894,R6_A1_TC_45C_7lap_V3,12/29/2024 5:50,61,KAL0616,SJ2-Maccor23,45,0,1367.0074,0.9199985,,,4,99,12/29/2024 11:30,12/29/2024,Y2025-W01,12/29/2024 12:29,12/10/2024 20:53,Y2024-W50,12/29/2024,Y2025-W01,78,,79,,TRUE,0,0,1,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.0158449411392212,TRUE,QSC Sister
QSC022AD-PS00-06,189016269,E31,15895,R6_A1_TC_45C_8lap_V1,2/3/2025 4:54,189,NAR0160,SJ2-Maccor23,73,0,1277.5199,0.8589235,-7.961694,2.83116,5,345,2/3/2025 12:47,2/3/2025,Y2025-W06,2/3/2025 14:47,12/10/2024 20:49,Y2024-W50,2/3/2025,Y2025-W06,280,,280,,FALSE,0,0,0,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.0294069051742554,FALSE,QSC Sister
QSC022AE-PS00-02,188697546,E31,15894,R6_A1_TC_45C_7lap_V3,12/24/2024 3:47,32,NAR0104,SJ2-Maccor23,5,0,1369.2712,0.91999894,,,2,46,12/24/2024 5:39,12/24/2024,Y2024-W52,12/24/2024 6:30,12/12/2024 19:28,Y2024-W50,12/24/2024,Y2024-W52,36,,37,,TRUE,0,0,1,TRUE,,QSC022,QSC022AE,Y2024-W50,QSC022,Tier 1,1.0218578577041626,TRUE,QSC Sister
QSC022AG-PS00-02,188725832,E31,15894,R6_A1_TC_45C_7lap_V3,12/31/2024 4:50,73,KAL0615,SJ2-Maccor23,33,0,1368.9558,0.91999716,,,1,119,12/31/2024 4:50,12/31/2024,Y2025-W01,12/31/2024 6:06,12/14/2024 19:40,Y2024-W50,12/31/2024,Y2025-W01,95,,96,,TRUE,0,0,1,TRUE,,QSC022,QSC022AG,Y2024-W50,QSC022,Tier 1,1.0448771715164185,TRUE,QSC Sister
QSC022AH-PS00-04,188816769,E31,15895,R6_A1_TC_45C_8lap_V1,1/13/2025 11:24,110,NAR0128,SJ2-Maccor23,49,0,1370.3204,0.9199992,,,1,186,1/13/2025 11:24,1/13/2025,Y2025-W03,1/13/2025 12:11,12/18/2024 14:16,Y2024-W51,1/13/2025,Y2025-W03,149,,150,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0240156650543213,TRUE,QSC Sister
QSC022AH-PS00-05,188698586,E31,15895,R6_A1_TC_45C_8lap_V1,12/25/2024 19:21,41,NAR0107,SJ2-Maccor23,61,0,1369.134,0.9199995,,,4,65,12/26/2024 1:13,12/26/2024,Y2024-W52,12/26/2024 2:01,12/18/2024 14:17,Y2024-W51,12/26/2024,Y2024-W52,53,,54,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0237305164337158,TRUE,QSC Sister
QSC022AH-PS00-06,188844699,E31,15895,R6_A1_TC_45C_8lap_V1,1/16/2025 13:30,128,NAR0128,SJ2-Maccor23,53,0,1367.5731,0.91999537,,,5,226,1/16/2025 21:21,1/16/2025,Y2025-W03,1/16/2025 22:12,12/18/2024 14:19,Y2024-W51,1/16/2025,Y2025-W03,183,,184,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0254098176956177,TRUE,QSC Sister
QSC1,189016269,E31,15895,R6_A1_TC_45C_8lap_V1,2/3/2025 4:54,189,NAR0160,SJ2-Maccor23,73,0,1277.5199,0.8589235,-7.961694,2.83116,5,345,2/3/2025 12:47,2/3/2025,Y2025-W06,2/3/2025 14:47,12/10/2024 20:49,Y2024-W50,2/3/2025,Y2025-W06,30,,30,,TRUE,0,0,0,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.0294069051742554,TRUE,PowerCo
QSC2,188697546,E31,15894,R6_A1_TC_45C_7lap_V3,12/24/2024 3:47,32,NAR0104,SJ2-Maccor23,5,0,1369.2712,0.91999894,,,2,46,12/24/2024 5:39,12/24/2024,Y2024-W52,12/24/2024 6:30,12/12/2024 19:28,Y2024-W50,12/24/2024,Y2024-W52,28,,28,,TRUE,0,0,1,TRUE,,QSC022,QSC022AE,Y2024-W50,QSC022,Tier 1,1.0218578577041626,TRUE,PowerCo
QSC3,188725832,E31,15894,R6_A1_TC_45C_7lap_V3,12/31/2024 4:50,73,KAL0615,SJ2-Maccor23,33,0,1368.9558,0.91999716,,,1,119,12/31/2024 4:50,12/31/2024,Y2025-W01,12/31/2024 6:06,12/14/2024 19:40,Y2024-W50,12/31/2024,Y2025-W01,54,,54,,TRUE,0,0,1,TRUE,,QSC022,QSC022AG,Y2024-W50,QSC022,Tier 1,1.0448771715164185,TRUE,PowerCo
QSC4,188816769,E31,15895,R6_A1_TC_45C_8lap_V1,1/13/2025 11:24,110,NAR0128,SJ2-Maccor23,49,0,1370.3204,0.9199992,,,1,186,1/13/2025 11:24,1/13/2025,Y2025-W03,1/13/2025 12:11,12/18/2024 14:16,Y2024-W51,1/13/2025,Y2025-W03,38,,38,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0240156650543213,TRUE,PowerCo
QSC5,188698586,E31,15895,R6_A1_TC_45C_8lap_V1,12/25/2024 19:21,41,NAR0107,SJ2-Maccor23,61,0,1369.134,0.9199995,,,4,65,12/26/2024 1:13,12/26/2024,Y2024-W52,12/26/2024 2:01,12/18/2024 14:17,Y2024-W51,12/26/2024,Y2024-W52,56,,56,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0237305164337158,TRUE,PowerCo
QSC6,188844699,E31,15895,R6_A1_TC_45C_8lap_V1,1/16/2025 13:30,128,NAR0128,SJ2-Maccor23,53,0,1367.5731,0.91999537,,,5,226,1/16/2025 21:21,1/16/2025,Y2025-W03,1/16/2025 22:12,12/18/2024 14:19,Y2024-W51,1/16/2025,Y2025-W03,145,,145,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0254098176956177,TRUE,PowerCo
